"","SYMBOL","FC","DESeq2.STAT","PVAL","ADJ.PVAL"
"4200","ME2",0.311509126483801,4.49041193997884,7.10855596855059e-06,0.0886721271517001
"9843","HEPH",-0.445266575985014,-4.48912735300699,7.15155347082142e-06,0.0892084779950264
"2140","EYA3",0.239912496344544,4.48891841002156,7.15857065598338e-06,0.0892960103627367
"80830","APOL6",-0.55066933141564,-4.48877436233651,7.16341221797621e-06,0.0893564040070352
"5355","PLP2",0.372022794482962,4.48774855697653,7.19798105460426e-06,0.0897876156751335
"341640","FREM2",-0.9585495210209,-4.48587969996868,7.26137057129948e-06,0.0905783365063897
"64800","EFCAB6",-0.559290330544114,-4.48459021305588,7.3054193937315e-06,0.0911278015174067
"91452","ACBD5",0.293181572315907,4.48383651296643,7.33128396598457e-06,0.0914504361916915
"6157","RPL27A",-0.305041006261067,-4.48135685558519,7.41699726357638e-06,0.0925196238658517
"11020","IFT27",0.30541239317321,4.48072799156622,7.43888679897763e-06,0.092792673930447
"10922","FASTK",0.291145197901041,4.47955388107025,7.47992074731549e-06,0.0933045314020134
"124790","HEXIM2",0.391358910544849,4.47804087599706,7.53311795097468e-06,0.0939681133204582
"84450","ZNF512",-0.292207937950456,-4.47667294734892,7.58152550580834e-06,0.0945719491594532
"6787","NEK4",0.27694506937268,4.47497308795148,7.64209377797829e-06,0.0953274777865012
"10131","TRAP1",0.305816030066927,4.47470565292792,7.65166486630401e-06,0.0954468675422762
"64897","C12orf43",-0.1586935503219,-4.4736746267071,7.6886710853631e-06,0.0959084831188193
"23268","DNMBP",-0.398644256531241,-4.47064631968267,7.79835695414406e-06,0.0972767046459931
"64750","SMURF2",-0.285715061890512,-4.46992176715472,7.82482131325737e-06,0.0976068210615725
"53947","A4GALT",-0.516591907962769,-4.46893428879353,7.8610273487958e-06,0.0980584551488788
"730101","LOC730101",0.462726117067916,4.46823297530285,7.88683831552901e-06,0.0983804211479088
"22869","ZNF510",-0.242712502651964,-4.46698462284078,7.93298295949998e-06,0.0989560294368028
"23158","TBC1D9",0.625567672892144,4.46687890599216,7.93690255524304e-06,0.0990049224741017
"54867","TMEM214",0.264731498021022,4.46634070922018,7.9568856530942e-06,0.099254191636697
"10233","LRRC23",0.313684881781859,4.46556827756024,7.98564989938192e-06,0.0996129968448901
"51550","CINP",0.248808653033478,4.46426627396865,8.03435977066965e-06,0.100220603779333
"51441","YTHDF2",0.179241376050472,4.46421249422698,8.03637784577062e-06,0.100245777248143
"2317","FLNB",0.380351579680565,4.46353365769407,8.06189276177114e-06,0.100564050310333
"27347","STK39",0.417568254890289,4.46258814003204,8.09756029728166e-06,0.101008967148291
"3770","KCNJ14",-0.41645955403353,-4.46231366468082,8.10794248293494e-06,0.10113847453213
"7013","TERF1",0.210464827515305,4.46212759802623,8.11498779499539e-06,0.101226357754772
"56850","GRIPAP1",0.25249709990113,4.46151805555271,8.13810879700914e-06,0.101514769133892
"79883","PODNL1",0.6130783947839,4.45929832545613,8.22284035196433e-06,0.102571710550403
"10714","POLD3",0.233389950838894,4.45876993210376,8.24313409182189e-06,0.102824854661386
"57696","DDX55",0.235234587190948,4.45674621069361,8.32130183044271e-06,0.103799919032942
"55170","PRMT6",0.303154594538824,4.45668510861269,8.32367292720483e-06,0.103829496093953
"158158","RASEF",0.871406389735385,4.45605925822056,8.3479965757408e-06,0.104132909285791
"10948","STARD3",0.424393614643351,4.45580892306251,8.35774485046269e-06,0.104254509264672
"8500","PPFIA1",0.332242036789987,4.45522409147063,8.38056113352344e-06,0.104539119579571
"861","RUNX1",0.427628084497557,4.45363210622039,8.44297192330521e-06,0.105317631771309
"387263","C6orf120",-0.240514584355246,-4.45155634183596,8.52501581651514e-06,0.10634104729521
"28512","NKIRAS1",-0.272407964525087,-4.45102740676383,8.54604329660295e-06,0.106603344081825
"59341","TRPV4",-0.562198062617927,-4.45003290202209,8.58571349517227e-06,0.107098190138779
"2778","GNAS",0.339182387529783,4.44622010895735,8.73944043157893e-06,0.109015779943516
"192668","CYS1",-0.576796896674601,-4.4451406605541,8.78343795064905e-06,0.109564604996396
"8452","CUL3",0.176969159540287,4.4448685054837,8.79456415555466e-06,0.109703393276389
"91893","FDXACB1",0.303980746098185,4.44455304450251,8.80747763996873e-06,0.10986447608097
"4048","LTA4H",-0.204915640682721,-4.44387845647481,8.83515292114946e-06,0.110209697538418
"91664","ZNF845",0.276968310055384,4.44240253735536,8.89599326361143e-06,0.110968619970289
"284114","TMEM102",0.319568038104148,4.44047823778035,8.97591819054973e-06,0.111965603508917
"10001","MED6",0.191962263334581,4.43985815743758,9.00181879922497e-06,0.112288687701532
"80230","RUFY1",0.16818081404509,4.43923868122757,9.02776547343921e-06,0.112612346515681
"4867","NPHP1",-0.326513832881706,-4.43901054572628,9.03733888911068e-06,0.112731765302767
"1454","CSNK1E",-0.249838771726604,-4.43868501011043,9.05101637459566e-06,0.112902378256706
"51460","SFMBT1",0.336281323670275,4.43849866663062,9.05885455593872e-06,0.11300015173078
"2322","FLT3",0.756294750632851,4.43841178220317,9.06251139949156e-06,0.113045767197258
"6450","SH3BGR",-0.472936652654723,-4.43813970266951,9.07397197154878e-06,0.113188726373099
"56262","LRRC8A",-0.19666307234307,-4.43715810225273,9.11543429325052e-06,0.113705927374007
"414919","C8orf82",0.332304301257587,4.43509740665037,9.20306674475384e-06,0.114799054574059
"5110","PCMT1",0.248733735810824,4.43487713245566,9.21248152699994e-06,0.114916494567797
"10220","GDF11",0.326768058342572,4.43414438793048,9.24386616729689e-06,0.115307986570861
"79642","ARSJ",-0.534398259411276,-4.43391439737582,9.25373808253845e-06,0.115431128841585
"51332","SPTBN5",-0.590778822380093,-4.43306535043355,9.29026913793896e-06,0.115886817226651
"9209","LRRFIP2",0.282146444737353,4.43211683211745,9.33124297874455e-06,0.11639792491686
"9957","HS3ST1",-0.400977334470506,-4.42988634872228,9.42827624317112e-06,0.117608317857317
"115752","DIS3L",-0.23751792572974,-4.42978400443407,9.43275160226416e-06,0.117664143486643
"27335","EIF3K",-0.281401732434118,-4.42830887999259,9.4974823971754e-06,0.118471595422366
"79731","NARS2",0.30921053676443,4.42811078149007,9.50620752570118e-06,0.118580432675597
"53407","STX18",0.193352921127892,4.42518241713842,9.63608218384858e-06,0.120200489161327
"23060","ZNF609",0.269869394042127,4.42505128180673,9.64193758336736e-06,0.120273529414924
"132320","SCLT1",0.232929203600403,4.42339950620908,9.715983617112e-06,0.121197179639855
"3276","PRMT1",0.270964214824862,4.42240593601001,9.76078482798559e-06,0.121756029944292
"64342","HS1BP3",0.259132665351895,4.4204147594508,9.85116394532949e-06,0.12288341905404
"165324","UBXN2A",-0.257692946465764,-4.41901137368521,9.91534298367309e-06,0.123683988378338
"84940","CORO6",-0.778890911968225,-4.41785159815094,9.96868254672652e-06,0.124349346087867
"5224","PGAM2",-0.465783660021564,-4.41686432193113,1.00143044922796e-05,0.124918434236696
"199731","CADM4",0.509367789657282,4.41612788893848,1.00484647758741e-05,0.125344549614254
"171546","SPTSSA",0.359644010751762,4.41598316162567,1.00551911895257e-05,0.125428454898144
"124152","IQCK",0.286498918540189,4.41558878874913,1.00735420782618e-05,0.125657363884237
"65095","KRI1",0.305154499301633,4.41414156863489,1.01411583120979e-05,0.126500808785109
"84503","ZNF527",-0.232297977906558,-4.41304642239297,1.01926130249547e-05,0.127142654873285
"91373","UAP1L1",0.30324819279848,4.41172877508651,1.02548522969701e-05,0.127919027552405
"54468","MIOS",0.224927354970643,4.41082901844314,1.02975608039458e-05,0.12845177346842
"267002","PGBD2",0.325632275538464,4.41053147557982,1.03117215272352e-05,0.128628414330731
"3241","HPCAL1",0.335900201749893,4.40873812084668,1.03974658750032e-05,0.12969798932479
"54800","KLHL24",-0.315692946992879,-4.40718858262047,1.04721007254294e-05,0.130628984449007
"27345","KCNMB4",-0.431689295066323,-4.40692159680785,1.04850118875757e-05,0.130790038285619
"25870","SUMF2",0.261302332475846,4.40487815590198,1.05843352340569e-05,0.132028997709626
"8650","NUMB",-0.18522276707953,-4.40409560951481,1.06226090209762e-05,0.132506424927657
"10561","IFI44",0.481363965304086,4.40240133326349,1.07059281792163e-05,0.133545748107545
"23041","MON2",-0.253569968444857,-4.40034000244238,1.08081394940156e-05,0.134820732048351
"5782","PTPN12",0.205233063586762,4.39886357152083,1.08819204438838e-05,0.135741075617007
"6836","SURF4",0.263988483382316,4.39729086726912,1.09610412655876e-05,0.136728028746939
"10965","ACOT2",-0.41582017461911,-4.39694453774613,1.0978538322206e-05,0.136946287031198
