,Unnamed: 0,SYMBOL,FC,DESeq2.STAT,PVAL,ADJ.PVAL
57,11343,MGLL,-2.95259174518323,-11.0547708275942,2.07867022431032e-28,2.5314045991651e-24
58,3131,HLF,-4.97236533685513,-11.0544998552907,2.08495651820538e-28,2.53906004787051e-24
59,4969,OGN,-5.78216789928935,-11.0445534446616,2.3292285544438297e-28,2.8365345336017e-24
60,10351,ABCA8,-4.60452206171558,-11.027313256299,2.82169062386385e-28,3.4362548417414e-24
61,316,AOX1,-4.36512549731275,-11.0226432257927,2.97201474805607e-28,3.61931956018269e-24
62,171024,SYNPO2,-4.91506464895045,-10.9846478610233,4.53001741434764e-28,5.51665520719256e-24
63,93649,MYOCD,-5.06933566521035,-10.9812781625795,4.70223054582013e-28,5.72637635869976e-24
64,114905,C1QTNF7,-3.86212985739541,-10.9174003951788,9.51811461557701e-28,1.15911599788497e-23
65,7704,ZBTB16,-4.65701549779128,-10.8996415613365,1.15712213346596e-27,1.40914333413485e-23
66,80332,ADAM33,-3.69166677331128,-10.8732445050538,1.54603180900537e-27,1.88275753700674e-23
67,5549,PRELP,-4.15627764778418,-10.8700716028755,1.60075171625535e-27,1.9493954400557602e-23
68,5239,PGM5,-5.60691897447163,-10.8349437852048,2.35109770251356e-27,2.86316678212102e-23
69,2878,GPX3,-2.84325236954474,-10.830627699068,2.4645998778888e-27,3.00138973129297e-23
70,23336,SYNM,-5.16918342930485,-10.8101559852275,3.08145650471756e-27,3.75259773144505e-23
71,6332,SCN7A,-5.44267839836079,-10.8050692134111,3.25711282634168e-27,3.9665119999189e-23
72,146713,RBFOX3,-6.10555538023102,-10.7969534503892,3.55814251284781e-27,4.33310595214607e-23
73,221662,RBM24,-3.64999288477255,-10.7804485284845,4.25804408679913e-27,5.18544608890398e-23
74,2273,FHL1,-4.78895664925051,-10.7803962488748,4.260464900867e-27,5.18839415627583e-23
75,219348,PLAC9,-3.99415771155015,-10.7657245716509,4.99669412873351e-27,6.08497410997167e-23
76,11076,TPPP,-3.70394629220063,-10.7638145316625,5.10138543180059e-27,6.21246717884676e-23
77,60495,HPSE2,-4.75093659510181,-10.7548368278133,5.62334553163131e-27,6.84811018842061e-23
78,6442,SGCA,-4.80288605461253,-10.7523783974717,5.77529070557912e-27,7.03314902125425e-23
79,4929,NR4A2,-2.98029442446249,-10.7361478485586,6.88578678882753e-27,8.38551115143417e-23
80,72,ACTG2,-5.13322977654673,-10.7271667545536,7.58873084598662e-27,9.2415564242425e-23
81,730,C7,-6.15310379132957,-10.7121711031936,8.92439306917081e-27,1.0868125879636199e-22
82,111,ADCY5,-4.35437453828337,-10.7027468368802,9.88050576842002e-27,1.2032479924781898e-22
83,10894,LYVE1,-3.76594760550191,-10.6780464665058,1.28956778841608e-26,1.5704356527331e-22
84,5742,PTGS1,-4.51827549831652,-10.6421391922279,1.897227378526e-26,2.31044350156897e-22
85,1410,CRYAB,-3.78282536068279,-10.6270260579328,2.23113955164632e-26,2.71708174599489e-22
86,92293,TMEM132C,-6.58565678009167,-10.579178691333,3.7220651290037e-26,4.53273091410071e-22
87,8309,ACOX2,-3.51323534977661,-10.5736029871203,3.95020563585756e-26,4.81056042334734e-22
88,54058,C21orf58,2.21806096016612,10.5733327795785,3.96160713579576e-26,4.82444516997207e-22
89,8516,ITGA8,-3.79344897611933,-10.5559882343209,4.76597716609782e-26,5.804006992873919e-22
90,10875,FGL2,-3.67416645377827,-10.5337030528101,6.04102289758938e-26,7.35675768468435e-22
91,55083,KIF26B,3.26756061382475,10.5157780279821,7.30751500541612e-26,8.89909177359575e-22
92,100128164,LOC100128164,-4.71065636487968,-10.5152806345255,7.34617748977659e-26,8.94617494704994e-22
93,3899,AFF3,-4.65420702432928,-10.498137026049,8.81016693253153e-26,1.07290212904369e-21
94,1674,DES,-6.14084648973119,-10.4971699014894,8.90087381326001e-26,1.0839484129788001e-21
95,185,AGTR1,-4.07281131173553,-10.4361208272313,1.6960027931693602e-25,2.06539220152165e-21
96,25802,LMOD1,-4.65233080676632,-10.4314741698662,1.78103380235555e-25,2.16894296450859e-21
97,2791,GNG11,-2.18747139249153,-10.4039886153632,2.3776745539116e-25,2.89553207175355e-21
98,22915,MMRN1,-4.04814325812006,-10.3964236700867,2.57413727549837e-25,3.13478437410192e-21
99,7434,VIPR2,-4.16485992228713,-10.3913171625996,2.71576427682721e-25,3.3072577363201803e-21
