,Unnamed: 0,SYMBOL,FC,DESeq2.STAT,PVAL,ADJ.PVAL
903,1827,RCAN1,-1.94208756307168,-15.5636196049736,1.28615010918806e-54,1.60434364620118e-50
906,4500,MT1L,-2.03670055047062,-15.5506744694403,1.57439029881079e-54,1.96389445873658e-50
911,10699,CORIN,2.33316711092963,15.5109793172571,2.92385149392918e-54,3.64721235352726e-50
912,5745,PTH1R,-2.39277694039075,-15.5063002157282,3.14485411609493e-54,3.92289102441681e-50
915,23034,SAMD4A,-1.60752146222657,-15.4894884021174,4.0852835719703204e-54,5.09598272767578e-50
917,83987,CCDC8,-2.036977985842,-15.4800560181593,4.73060746351736e-54,5.90095974999156e-50
920,287,ANK2,-2.12183723074254,-15.4724993602075,5.32007200451262e-54,6.63625781842905e-50
921,64753,CCDC136,-1.55362310693603,-15.4674833288444,5.7511876863539e-54,7.17403151995785e-50
922,27151,CPAMD8,-2.44707112339966,-15.4590690600905,6.55388652064805e-54,8.175318045856379e-50
924,8644,AKR1C3,-2.41016335178675,-15.4320345386772,9.96777383560946e-54,1.2433801082539199e-49
925,51129,ANGPTL4,-2.58445631723463,-15.4197790301274,1.2051601307293002e-53,1.50331674707173e-49
928,2161,F12,2.35552012325156,15.4026556190762,1.5708344751397e-53,1.9594589242892598e-49
929,345557,PLCXD3,-2.93021577841652,-15.3948757916707,1.77164373659776e-53,2.20994839703204e-49
932,744,MPPED2,-1.95327057203425,-15.3657963612887,2.77606435355499e-53,3.46286267462449e-49
934,92304,SCGB3A1,-3.70052635501992,-15.3449314105167,3.8296394215837403e-53,4.77709221448356e-49
935,641700,ECSCR,-1.75552100819054,-15.3323346130726,4.64970006430157e-53,5.8000358602097795e-49
936,83595,SOX7,-1.82757541783127,-15.3304560231652,4.78614665185191e-53,5.97023933352008e-49
938,84649,DGAT2,-2.90071439046982,-15.3105986965568,6.49631865835876e-53,8.10350789443672e-49
939,100129792,CCDC152,-1.53142474326384,-15.3070561418002,6.85993171549559e-53,8.557078821909189e-49
948,111,ADCY5,-2.65266323769745,-15.2862484354457,9.44357512491164e-53,1.17799156108148e-48
950,83660,TLN2,-1.58881252017397,-15.2845677018311,9.69038700311409e-53,1.20877887476845e-48
951,3742,KCNA6,-2.32955086773624,-15.2818766916382,1.0098998595402e-52,1.2597490847904499e-48
956,2037,EPB41L2,-1.50788164170947,-15.2416647087905,1.87043290571161e-52,2.33317800658466e-48
957,126917,IFFO2,-1.7028058426451,-15.2366381458488,2.0200000218840102e-52,2.51974802729811e-48
959,9457,FHL5,-2.17923071285582,-15.2296962282543,2.24632776541508e-52,2.80206925457877e-48
962,3164,NR4A1,-2.18664777879656,-15.1924473197297,3.96823209482994e-52,4.94997271509087e-48
965,388228,SBK1,2.18648532259624,15.1878042486712,4.25950340864194e-52,5.31330455193995e-48
966,79812,MMRN2,-1.78609523304141,-15.1838824597623,4.5220449543715205e-52,5.64079887608303e-48
968,249,ALPL,-2.0058820148852,-15.1820550952063,4.6498198086439105e-52,5.80018522930242e-48
970,2078,ERG,-1.54655478253831,-15.1734950859547,5.2978948997411904e-52,6.60859409793715e-48
975,10437,IFI30,1.62616899512784,15.1312164124431,1.0081454027873e-51,1.25756057543688e-47
978,4314,MMP3,2.6640509302593,15.1062319324279,1.47326977801144e-51,1.8377567210914702e-47
981,146433,IL34,-2.09353058430858,-15.0785352871128,2.24187380360044e-51,2.7965133826111903e-47
983,4582,MUC1,2.65036531028192,15.0766497000014,2.30681118588494e-51,2.87751627327287e-47
987,54674,LRRN3,-2.45343201669741,-15.0676899526501,2.64189985376681e-51,3.2955058775887204e-47
990,4318,MMP9,2.77429695239594,15.0583928244541,3.04089906543571e-51,3.79321749422451e-47
991,26051,PPP1R16B,-2.09060200645063,-15.0540461769012,3.24749359869994e-51,4.0509235150183e-47
995,342035,GLDN,-2.37548543557498,-15.0255204100588,4.99673713591465e-51,6.232929903339931e-47
997,2537,IFI6,2.14115015056547,15.0164926339624,5.72582822593312e-51,7.142398129028981e-47
999,195828,ZNF367,1.51003102004365,15.013615847274,5.97971104037402e-51,7.459091551762551e-47
1002,80034,CSRNP3,-2.07676915673563,-15.0001269475129,7.32790356340506e-51,9.14082690499147e-47
1004,993,CDC25A,1.78516029620611,14.9949943472842,7.916943439413171e-51,9.87559524632399e-47
1005,5329,PLAUR,1.59349055342516,14.9903844915243,8.48605420539689e-51,1.05855040158121e-46
1006,1345,COX6C,1.74978620252427,14.9877020025734,8.83578083692693e-51,1.10217530159827e-46
1012,8492,PRSS12,-2.44219605588858,-14.9511777344095,1.5301883644362e-50,1.90875696579772e-46
1013,8029,CUBN,-1.55860719750395,-14.949533309017,1.5684448947526998e-50,1.95647816171451e-46
1018,338645,LUZP2,-2.76810065665363,-14.9227995424746,2.34235954125248e-50,2.92185929175834e-46
1023,58480,RHOU,-1.72360928440267,-14.8763591373238,4.69355692548347e-50,5.854742908848091e-46
1025,7068,THRB,-1.51626402443613,-14.8743561102032,4.83615464273883e-50,6.0326193013524206e-46
1028,11031,RAB31,1.58983451405662,14.8652240972551,5.54291050087091e-50,6.9142265587863706e-46
1031,342926,ZNF677,-1.60792408874077,-14.8514425022167,6.80876376269878e-50,8.49325191759046e-46
1032,55366,LGR4,-1.60532345964524,-14.8505723914117,6.89771821056418e-50,8.60421369585776e-46
1033,440073,IQSEC3,-2.00248135953192,-14.8499332776845,6.96379315004759e-50,8.68663557536937e-46
1034,1373,CPS1,-1.78379084710623,-14.8457247866011,7.414905279774289e-50,9.24935284599045e-46
1035,64093,SMOC1,-2.68288577643322,-14.8409504503793,7.96198291378157e-50,9.93177748665113e-46
1044,9582,APOBEC3B,2.05056859950718,14.8134715875757,1.19885228186278e-49,1.49544833639563e-45
1045,898,CCNE1,1.68504848411826,14.8112390447391,1.2393453084703498e-49,1.54595933778592e-45
1046,8671,SLC4A4,-2.7612976007918,-14.8094355702976,1.2730479852184598e-49,1.58800005676151e-45
1051,4857,NOVA1,-2.57261398049355,-14.7861970502203,1.79831432657242e-49,2.24321729096643e-45
1052,54756,IL17RD,-1.63816487865838,-14.7859359966065,1.80530074282648e-49,2.25193214660176e-45
1054,79649,MAP7D3,-1.71850367652828,-14.7796320201995,1.98246325576268e-49,2.47292466523837e-45
1055,93986,FOXP2,-1.77607389214223,-14.778184891763,2.02551534690062e-49,2.52662784372383e-45
1060,7163,TPD52,1.89530630003935,14.7431698547275,3.40423661141765e-49,4.2464447490823804e-45
1064,80177,MYCT1,-1.68740744806641,-14.7280519998264,4.25803696213045e-49,5.31147530656152e-45
1065,80731,THSD7B,-2.26496102210261,-14.7249959950643,4.4549606161582995e-49,5.55711787259587e-45
1067,84941,HSH2D,1.75899827629796,14.7136430689349,5.2692598202309396e-49,6.57287469975607e-45
1068,80022,MYO15B,-1.50891984233786,-14.7107520638521,5.4992827128303e-49,6.85980525598451e-45
1069,23015,GOLGA8A,-1.94213501107199,-14.7039628869241,6.07952133392317e-49,7.58359491193576e-45
1070,30835,CD209,-2.27539683563198,-14.7003218349965,6.4154082952122794e-49,8.002580307447801e-45
1072,57644,MYH7B,-1.60349571250893,-14.6943262009956,7.00922169212768e-49,8.74330313876006e-45
1073,66004,LYNX1,-1.94654638891079,-14.6886398850388,7.62285234760093e-49,9.508746018397391e-45
1075,3861,KRT14,-3.90296819112001,-14.6842384106135,8.134299191759129e-49,1.01467248118003e-44
1076,3852,KRT5,-3.63549622421224,-14.6826310636405,8.329466746154789e-49,1.03901768191535e-44
1077,79006,METRN,1.91327644515257,14.6782597088349,8.884142441834699e-49,1.1082079281944601e-44
1079,5317,PKP1,-2.71495891907709,-14.6619404623935,1.12996892804713e-48,1.4095232408459902e-44
1080,256435,ST6GALNAC3,-1.66133893363082,-14.644369823602,1.46351871714464e-48,1.82559324776622e-44
1081,11343,MGLL,-2.09198799576665,-14.6398045555872,1.56517496498443e-48,1.95239925132158e-44
