"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032561","GO:0032561","22/784","214/11936",0.0243727203539291,0.200975054721743,0.1753826468954,"RHOJ/PDE2A/GEM/PDE5A/LRRK2/ANXA6/RASL12/RHOB/RERG/RNF112/RAC3/RRAD/RAB9B/SLC19A1/TUBB6/DIRAS3/DIRAS1/TUBB3/GBP6/RRAS/RND3/RHOH",22
"GO:0003924","GO:0003924","22/784","216/11936",0.02674577834565,0.215371386891309,0.18794573262253,"RHOJ/TPPP/GNG11/GEM/LRRK2/GNAL/RASL12/RHOB/RERG/RNF112/RAC3/GNAO1/RAP1GAP/GNA14/GNAZ/RAB23/DIRAS3/DIRAS1/GBP6/RRAS/RND3/RHOH",22
"GO:0070182","GO:0070182","4/784","18/11936",0.026974945077838,0.215371386891309,0.18794573262253,"FANCI/RAD51/CDT1/FANCD2",4
"GO:0048018","GO:0048018","29/784","307/11936",0.0306318698346994,0.236363677841282,0.206264839719189,"IL6/GREM2/SEMA5B/IL33/SEMA3G/FGF2/BMP5/IL34/INHBA/GAS6/FGF7/TSLP/CSF3/EPHA7/SEMA3E/CX3CL1/BDNF/SEMA3B/WNT2B/BMP8B/IGF1/HGF/TNFSF12/WNT2/HBEGF/INHBB/WNT9A/DKK1/AREG",29
"GO:0005346","GO:0005346","3/784","11/11936",0.0313037574032096,0.236363677841282,0.206264839719189,"SLC25A25/SLC25A23/SLC19A1",3
"GO:0017166","GO:0017166","3/784","11/11936",0.0313037574032096,0.236363677841282,0.206264839719189,"SYNM/DMD/CORO2B",3
"GO:0005245","GO:0005245","6/784","37/11936",0.0319537377598552,0.236363677841282,0.206264839719189,"CACNA1H/CACNB2/CACNB4/NCS1/CACNA2D1/CACNA1C",6
"GO:0005246","GO:0005246","6/784","37/11936",0.0319537377598552,0.236363677841282,0.206264839719189,"ITPR1/GEM/NRXN1/RRAD/PRKG1/NRXN2",6
"GO:0030695","GO:0030695","23/784","233/11936",0.0328144903612393,0.239212879010193,0.208751220147014,"RGS2/ARHGAP39/CDC42EP2/IQGAP3/LRRK2/RGS5/STARD13/STARD8/SLIT2/CPEB2/ARHGAP20/ARHGAP11A/ECT2/ARHGAP15/RACGAP1/RAP1GAP/ARHGAP10/NCKAP1L/DLC1/GARNL3/ARHGAP24/RGS11/RHOH",23
"GO:0005125","GO:0005125","18/784","173/11936",0.0352548784395691,0.253331483644332,0.221071944500756,"IL6/IL33/FGF2/BMP5/IL34/INHBA/CXCL12/TSLP/CSF3/CX3CL1/CCL2/WNT2B/BMP8B/CXCL2/WNT2/INHBB/CCL21/WNT9A",18
